invoice_date,dm_d_code,supplier_name,supplier_description,unit_cost_gbp,pack_size,invoice_pack_size,min_unit_cost,avg_unit_cost
2026-04-10,28572511000001104,AAH,Edoxaban 60mg tablets,49.0,28,28,46.55,49.0
2026-04-10,8058211000001101,AAH,Lipitor 20mg tablets,24.64,28,28,23.41,24.64
2026-04-10,11417011000001106,AAH,Nexium 20mg gastro-resistant tablets,18.5,28,28,17.57,18.5
2026-04-10,9474711000001109,AAH,Atorvastatin 20mg tablets,0.75,28,28,0.71,0.75
2026-04-10,14188111000001100,AAH,Amlodipine 5mg tablets,0.63,28,28,0.6,0.63
2026-04-10,17603511000001107,AAH,Omeprazole 20mg gastro-resistant capsules,0.83,28,28,0.79,0.83
2026-04-10,13768511000001107,AAH,Lansoprazole 30mg gastro-resistant capsules,0.87,28,28,0.83,0.87
2026-04-10,2201211000001104,AAH,Levothyroxine 50microgram tablets,0.87,28,28,0.82,0.87
2026-04-10,12140411000001101,AAH,Ramipril 5mg capsules,0.89,28,28,0.84,0.89
2026-04-10,1157411000001105,AAH,Bisoprolol 2.5mg tablets,0.78,28,28,0.74,0.78
2026-04-10,15152011000001109,AAH,Sertraline 50mg tablets,0.99,28,28,0.94,0.99
2026-04-10,31782211000001102,AAH,Metformin 500mg tablets,1.7,84,84,1.61,1.7
2026-04-10,3324011000001108,AAH,Salbutamol 100micrograms/dose inhaler,1.14,200,200,1.08,1.14
2026-04-10,1261511000001107,AAH,Furosemide 40mg tablets,0.76,28,28,0.73,0.76
2026-04-10,14389111000001108,AAH,Clopidogrel 75mg tablets,0.93,28,28,0.88,0.93
2026-04-10,14588111000001105,AAH,Citalopram 20mg tablets,1.0,28,28,0.95,1.0
2026-04-10,15456111000001106,AAH,Mirtazapine 30mg tablets,2.66,28,28,2.52,2.66
2026-04-10,15132111000001106,AAH,Losartan 50mg tablets,1.13,28,28,1.07,1.13
2026-04-10,1172111000001102,AAH,Amitriptyline 10mg tablets,0.79,28,28,0.75,0.79
2026-04-10,1182211000001108,AAH,Aspirin 75mg dispersible tablets,0.63,28,28,0.6,0.63
2026-04-10,18567111000001100,AAH,Co-codamol 30mg/500mg tablets,2.02,30,30,1.92,2.02
2026-04-10,14920111000001101,AAH,Gabapentin 300mg capsules,3.4,100,100,3.23,3.4
2026-04-10,15901111000001107,AAH,Nitrofurantoin 100mg m/r capsules,4.1,30,30,3.89,4.1
2026-04-10,14833111000001100,AAH,Fluoxetine 20mg capsules,1.27,30,30,1.21,1.27
2026-04-10,15762111000001100,AAH,Naproxen 250mg tablets,1.49,28,28,1.41,1.49
2026-04-10,14954111000001109,AAH,Gliclazide 80mg tablets,1.05,28,28,1.0,1.05
2026-04-10,15132111000001106,AAH,Losartan 50mg tablets (Alt Dose),1.03,28,28,0.98,1.03
2026-04-10,14389111000001108,AAH,Clopidogrel 75mg tablets (Alt Dose),0.95,28,28,0.91,0.95
2026-04-10,14188111000001100,AAH,Amlodipine 5mg tablets (Alt Dose),0.83,28,28,0.79,0.83
2026-04-10,1157411000001105,AAH,Bisoprolol 2.5mg tablets (Alt Dose),0.98,28,28,0.93,0.98
2026-04-10,14188111000001100,AAH,Amlodipine 5mg tablets (Alt Dose),0.64,28,28,0.61,0.64
2026-04-10,15132111000001106,AAH,Losartan 50mg tablets (Alt Dose),1.24,28,28,1.18,1.24
2026-04-10,9474711000001109,AAH,Atorvastatin 20mg tablets (Alt Dose),0.7,28,28,0.66,0.7
2026-04-10,31782211000001102,AAH,Metformin 500mg tablets (Alt Dose),1.72,84,84,1.63,1.72
2026-04-10,15132111000001106,AAH,Losartan 50mg tablets (Alt Dose),1.14,28,28,1.08,1.14
2026-04-10,13768511000001107,AAH,Lansoprazole 30mg gastro-resistant capsules (Alt Dose),0.97,28,28,0.92,0.97
2026-04-10,14188111000001100,AAH,Amlodipine 5mg tablets (Alt Dose) (Alt Dose),0.57,28,28,0.54,0.57
2026-04-10,14833111000001100,AAH,Fluoxetine 20mg capsules (Alt Dose),1.21,30,30,1.14,1.21
2026-04-10,12140411000001101,AAH,Ramipril 5mg capsules (Alt Dose),0.73,28,28,0.69,0.73
2026-04-10,14188111000001100,AAH,Amlodipine 5mg tablets (Alt Dose),0.72,28,28,0.68,0.72
2026-04-10,9474711000001109,AAH,Atorvastatin 20mg tablets (Alt Dose) (Alt Dose),0.65,28,28,0.62,0.65
2026-04-10,1182211000001108,AAH,Aspirin 75mg dispersible tablets (Alt Dose),0.61,28,28,0.57,0.61
2026-04-10,14954111000001109,AAH,Gliclazide 80mg tablets (Alt Dose),1.21,28,28,1.14,1.21
2026-04-10,14920111000001101,AAH,Gabapentin 300mg capsules (Alt Dose),3.58,100,100,3.4,3.58
2026-04-10,14954111000001109,AAH,Gliclazide 80mg tablets (Alt Dose),1.03,28,28,0.98,1.03
2026-04-10,15132111000001106,AAH,Losartan 50mg tablets (Alt Dose) (Alt Dose),1.3,28,28,1.24,1.3
2026-04-10,14920111000001101,AAH,Gabapentin 300mg capsules (Alt Dose),3.52,100,100,3.34,3.52
2026-04-10,15152011000001109,AAH,Sertraline 50mg tablets (Alt Dose),1.19,28,28,1.13,1.19
2026-04-10,9474711000001109,AAH,Atorvastatin 20mg tablets (Alt Dose) (Alt Dose) (Alt Dose),0.69,28,28,0.65,0.69
2026-04-10,14954111000001109,AAH,Gliclazide 80mg tablets (Alt Dose),1.23,28,28,1.17,1.23
2026-04-10,12140411000001101,AAH,Ramipril 5mg capsules (Alt Dose) (Alt Dose),0.82,28,28,0.78,0.82
2026-04-10,14188111000001100,AAH,Amlodipine 5mg tablets (Alt Dose) (Alt Dose),0.82,28,28,0.77,0.82
2026-04-10,13768511000001107,AAH,Lansoprazole 30mg gastro-resistant capsules (Alt Dose) (Alt Dose),0.93,28,28,0.88,0.93
2026-04-10,14588111000001105,AAH,Citalopram 20mg tablets (Alt Dose),1.06,28,28,1.01,1.06
2026-04-10,31782211000001102,AAH,Metformin 500mg tablets (Alt Dose),1.68,84,84,1.6,1.68
2026-04-10,15456111000001106,AAH,Mirtazapine 30mg tablets (Alt Dose),2.96,28,28,2.81,2.96
2026-04-10,12140411000001101,AAH,Ramipril 5mg capsules (Alt Dose) (Alt Dose) (Alt Dose),0.91,28,28,0.86,0.91
2026-04-10,31782211000001102,AAH,Metformin 500mg tablets (Alt Dose) (Alt Dose),1.7,84,84,1.61,1.7
2026-04-10,14954111000001109,AAH,Gliclazide 80mg tablets (Alt Dose) (Alt Dose),1.15,28,28,1.1,1.15
2026-04-10,12140411000001101,AAH,Ramipril 5mg capsules (Alt Dose) (Alt Dose) (Alt Dose) (Alt Dose),0.89,28,28,0.85,0.89
2026-04-10,13768511000001107,AAH,Lansoprazole 30mg gastro-resistant capsules (Alt Dose),0.93,28,28,0.88,0.93
2026-04-10,9474711000001109,AAH,Atorvastatin 20mg tablets (Alt Dose),0.82,28,28,0.78,0.82
2026-04-10,9474711000001109,AAH,Atorvastatin 20mg tablets (Alt Dose) (Alt Dose),0.81,28,28,0.77,0.81
2026-04-10,13768511000001107,AAH,Lansoprazole 30mg gastro-resistant capsules (Alt Dose) (Alt Dose),1.08,28,28,1.03,1.08
2026-04-10,1182211000001108,AAH,Aspirin 75mg dispersible tablets (Alt Dose),0.6,28,28,0.57,0.6
2026-04-10,15132111000001106,AAH,Losartan 50mg tablets (Alt Dose) (Alt Dose) (Alt Dose),1.4,28,28,1.33,1.4
2026-04-10,14389111000001108,AAH,Clopidogrel 75mg tablets (Alt Dose) (Alt Dose),0.96,28,28,0.91,0.96
2026-04-10,9474711000001109,AAH,Atorvastatin 20mg tablets (Alt Dose) (Alt Dose) (Alt Dose),0.8,28,28,0.76,0.8
2026-04-10,14188111000001100,AAH,Amlodipine 5mg tablets (Alt Dose) (Alt Dose) (Alt Dose),0.72,28,28,0.68,0.72
2026-04-10,31782211000001102,AAH,Metformin 500mg tablets (Alt Dose) (Alt Dose),1.53,84,84,1.45,1.53
2026-04-10,15456111000001106,AAH,Mirtazapine 30mg tablets (Alt Dose),2.97,28,28,2.82,2.97
2026-04-10,9474711000001109,AAH,Atorvastatin 20mg tablets (Alt Dose) (Alt Dose),0.87,28,28,0.82,0.87
2026-04-10,14188111000001100,AAH,Amlodipine 5mg tablets (Alt Dose) (Alt Dose) (Alt Dose),0.7,28,28,0.66,0.7
2026-04-10,13768511000001107,AAH,Lansoprazole 30mg gastro-resistant capsules (Alt Dose) (Alt Dose),0.89,28,28,0.85,0.89
2026-04-10,15132111000001106,AAH,Losartan 50mg tablets (Alt Dose) (Alt Dose),1.1,28,28,1.04,1.1
2026-04-10,14954111000001109,AAH,Gliclazide 80mg tablets (Alt Dose) (Alt Dose),1.18,28,28,1.13,1.18
2026-04-10,1261511000001107,AAH,Furosemide 40mg tablets (Alt Dose),0.67,28,28,0.63,0.67
2026-04-10,1261511000001107,AAH,Furosemide 40mg tablets (Alt Dose),0.75,28,28,0.72,0.75
2026-04-10,14954111000001109,AAH,Gliclazide 80mg tablets (Alt Dose) (Alt Dose),1.07,28,28,1.02,1.07
2026-04-10,12140411000001101,AAH,Ramipril 5mg capsules (Alt Dose) (Alt Dose) (Alt Dose) (Alt Dose) (Alt Dose),0.77,28,28,0.73,0.77
